"FLIR_ID_Date","photo_type","date","site"
"FLIR1755_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1757_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1759_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1761_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1763_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1765_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1767_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1769_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1771_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1773_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1775_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1777_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1779_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1781_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1783_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1785_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1787_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1789_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1791_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1793_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1795_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1797_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1799_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1801_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1803_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1805_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1807_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1809_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1811_2024-06","transect",2024-06-10,"Vorisek Pond"
"FLIR1435_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1437_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1439_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1441_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1443_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1445_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1447_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1449_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1451_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1453_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1455_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1457_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1459_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1461_2024-05","transect",2024-05-28,"Tryon-Weber"
"FLIR1463_2024-05","transect",2024-05-28,"Tryon-Weber"
